Codigo,Producto,Cantidad,Precio unitario
ISH01,TOP SILVER,4,2300
ISH02,TOP LAMÉ SILVER,4,1800
ISK09,FALDA SILVER,2,3000
LT009,TOP LAMÉ SILVER,4,1200
MLD53,VESTIDO VIOLETA,2,3000
MSD18,VESTIDO PURPLE,2,2900
MSK05,FALDA PURPLE,1,2300
MT016,TOP PURPLE,1,2300
OLD11,VESTIDO LARGO,1,3350
OSD06,VESTIDO LIGHT SAND,3,2350
OSK05,FALDA OLIVE,4,2300
PLD10,VESTIDO LIGHT BLUE,2,1400
PSD10,VESTIDO LIGHT BLUE,3,1350
PT003,TOP LIGHT BLUE,4,600
RLD19,VESTIDO LARGO OLIVE,1,3600
TC004,CHAQUETA ROJA,4,2500
TSK02,FALDA ROJA,3,1200
USK01,FALDA AMARILLA,3,950
YJA03,JACKET ANIS,3,2400
YSD09,VESTIDO WHITE,1,2000
YSD09,VESTIDO ANIS,1,2000
YSD12,VESTIDO WHITE,3,2200
YT006,TOP WHITE,5,990
YT006,TOP ANIS,2,990
YT007,TOP WHITE,5,1300
YT007,TOP ANIS,3,1300
ZLD21,VESTIDO LARGO / WHITE,2,2800
ZSD04,VESTIDO CORTO WHITE,1,1990
ZT011,TOP WHITE,3,1800
AC001,CAPA LARGA PURPLE,1,2400
AC001,CAPA LARGA LAVANDA,1,2400
AC002,CAPA CORTA ANIS,1,2100
AC002,CAPA CORTA PURPLE,1,2100
AC002,CAPA CORTA LAVANDA,1,2100
AC002,CAPA CORTA OLD PINK,1,2100
ADJA02,CHALECO LUREX ORO,4,2900
AESK05,FALDA LUREX ORO,4,3200
ALD02,VESTIDO LARGO ANIS,1,2600
ALD02,VESTIDO LARGO PURPLE,1,2600
ALD02,VESTIDO LARGO LAVANDA,1,2600
ALD04,VESTIDO LARGO PURPLE,1,2800
ALD04,VESTIDO LARGO OLD PINK,1,2800
ASD14,VESTIDO CORTO ANIS,3,2800
ASD14,VESTIDO CORTO OLD PINK,1,2800
ASK03,FALDA / LIGHT LAVANDA,3,3000
AT004,TOP OLD PINK,4,2400
AT005,TOP ANIS,4,1600
AT008,TOP / LIGHT LAVANDA,4,2000
CLD10,VESTIDO LARGO / OLD PINK,1,1500
CSD02,VESTIDO CORTO FUCSIA,2,1350
CSD11,VESTIDO CORTO OLD PINK,2,1300
FLD03,GAZAR VESTIDO LARGO ORCHIDEA,1,3000
GSK06,FALDA LIGHT PINK,3,1400
GT012,TOP / LIGHT PINK,3,890
IPA04,PANTALÓN PEA/GREEN,3,1500
JLD16,DRESS LONG / LEMON,1,1500
JSD03,DRESS CORTO / PURPLE,2,1000
JSH04,TOP / PURPLE,4,900
KSD03,VESTIDO CORTO / ANIS,4,4000
KSH04,TOP ANIS,4,900
